readID	cluster
310bb002-6da6-489c-82a1-ec409985fac4	-1	0
80c0673a-a6a4-48b6-9bf9-d8105a895005	-1	1
d8161174-9ff7-45d4-89df-43c637a9d5cc	-1	0
cbbff0e5-1580-4217-9236-1969680fe2c1	-1	0
88cfd1b8-3361-404d-88cc-75180641c5d8	-1	0
ce11c91d-ff75-4517-bb13-36228f3289c4	-1	0
3bd6caf1-de21-45a4-979b-104d70322d71	-1	0
c744579f-b8cb-4cfc-8ba6-fa7cef86e0be	-1	0
27718c7b-be5f-4e78-af6b-f754ac9ddd6e	-1	1
f4619713-e04d-4b69-a861-947b8e623537	-1	0
d68b677f-a23c-4d11-b34e-3201b86d4b52	-1	0
8082d694-5565-4747-9f9e-51885527c860	-1	0
6bfd97de-d0a9-43b8-bb6d-8c7d75a8bb0d	-1	0
d7ffd03a-e3e5-43f8-9b47-f82888c6e270	-1	0
2b9a9946-5c5b-4753-8e41-fbd3152be4be	-1	0
4bb88e43-677b-4950-8e69-a37ea4af0193	-1	1
dc8c91f7-bf93-4446-a879-b156314dd5ba	-1	1
0b857184-9418-400a-af90-d413dda00659	-1	0
5560c243-ab28-485e-a6fd-4c57a7eac5e3	-1	1
9ed97c75-5719-40af-92f3-aebd82dcfc2a	-1	0
a130314b-86cf-4ea7-bf21-217e2856dc2d	-1	0
13a9a7ba-97f3-4da6-a681-9ee08c80dfd8	-1	0
4f6a659e-ae6a-424d-8af1-7b59e2ec0789	-1	0
