readID	cluster
85b33c2a-6800-46b4-8f28-c2a6dd15e83d	0
dcc687c3-af48-4c9c-9a6b-06df1112187d	1
a8997e06-7bff-4522-90e3-cdcb4890e337	0
44353e36-192f-42ed-9820-222a6454ae5f	0
9aa244a3-6ef8-4f8d-bb18-0c0449324f21	2
2cea5b76-0076-44dc-8651-15b165506dca	1
0403112a-b3f1-410e-8365-7d3b7c27d625	1
51bc3b9d-5117-4c97-9619-92c27eba8199	2
6ea15082-d406-4be3-b86f-db8f6879976f	2
5e12870e-9158-492a-93ff-4a24a91105a1	0
3fa2f250-a51c-485f-a704-29c0eb95607a	2
884e376d-c190-4e3f-9946-c9ba6e20f21b	0
cc39813f-163c-44d3-905f-08660d75389c	1
895c960c-1e8c-4a2d-9a59-508a2868c7f7	0
e065467f-0c54-4be1-9b7f-e47038c13d0e	0
4682fdc3-8715-4338-8194-922df1270bf7	1
be90b025-4f95-4c94-8eda-0a079571078e	0
3652503a-9095-41d7-b752-28a5600d3927	0
f42834e8-926c-4b6a-bfc5-6ffe8bf0cd70	0
f0cab996-1765-491e-9746-2e32118d4a55	0
